Risk_Factor,PAF_Mean (%),PAF_Lower (%),PAF_Upper (%)
Kidney dysfunction,35.89685968499169,24.85186594391683,51.626794502300754
High alcohol use,39.068072623552574,29.7214259737925,47.94933734694793
High body-mass index,11.173500632969201,6.514337378347382,15.991571963503864
