Risk_Factor,PAF_Mean (%),PAF_Lower (%),PAF_Upper (%)
Kidney dysfunction,26.199044380484043,17.66126505722764,39.12202230861828
Diet high in sodium,18.416311560105047,3.6465965805567753,33.30540556159117
Smoking,11.825831170544099,9.654572607260056,14.2513791764942
